Number,lat,lon,Sector
1,29.7479755,-95.4183559,DS
2,29.7223491,-95.4009642,DS
3,29.7155942,-95.4157594,DS
4,29.7358784,-95.3601388,DS
5,29.7535856,-95.3985567,DS
6,29.7284224,-95.4441781,DS
6,29.7358784,-95.4601388,DS
7,29.7493038,-95.4622090,DS
8,29.7788627,-95.4831229,DS
9,29.7798703,-95.4561893,DS
10,29.761751,-95.4212143,DS
11,29.760056,-95.39771,DS
12,29.7569976,-95.3710357,DS
