raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,atMile28,atMile29,atMile30,finished
84,11000,0,0,40,560,1850,1700,2000,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,100,0,1340,850,590,40
86,11000,0,0,20,430,1640,1790,1830,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,180,10,1410,860,650,50
88,11000,0,0,10,380,1410,1800,1690,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,240,10,1480,930,670,70
90,11000,0,0,0,280,1230,1700,1720,1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,290,0,1460,990,760,90
92,11000,0,0,0,220,1070,1620,1700,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,310,30,1430,1150,770,160
94,11000,0,0,0,190,840,1640,1640,1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,350,30,1410,1330,790,240
96,11000,0,0,0,120,700,1620,1600,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,450,10,1630,1310,830,320
98,11000,0,0,0,110,490,1510,1730,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,470,30,1780,1400,850,370
100,11000,0,0,0,70,400,1400,1680,1540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,510,110,1860,1320,980,430
102,11000,0,0,0,40,380,1170,1580,1590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,570,10,1930,1290,1110,610
104,11000,0,0,0,30,340,1000,1540,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,590,110,1800,1280,1250,670
106,11000,0,0,0,20,280,860,1520,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,640,40,1830,1410,1270,840
