Mile,Minute,Runners,Half
1,30,3840,3150
2,30,3990,2440
3,30,1970,900
4,30,490,220
5,30,30,0
6,30,0,0
7,30,0,0
8,30,0,0
9,30,0,0
10,30,0,0
11,30,0,0
12,30,0,0
13,30,0,0
14,30,0,0
15,30,0,0
16,30,0,0
17,30,0,0
18,30,0,0
19,30,0,0
20,30,0,0
21,30,0,0
22,30,0,0
23,30,0,0
24,30,0,0
25,30,0,0
0,32,4630,3260
1,32,3250,2710
2,32,4380,2850
3,32,2120,1050
4,32,710,310
5,32,90,20
6,32,20,0
7,32,0,0
8,32,0,0
9,32,0,0
10,32,0,0
11,32,0,0
12,32,0,0
13,32,0,0
14,32,0,0
15,32,0,0
16,32,0,0
17,32,0,0
18,32,0,0
19,32,0,0
20,32,0,0
21,32,0,0
22,32,0,0
23,32,0,0
24,32,0,0
25,32,0,0
0,34,5700,3940
1,34,2760,2260
2,34,4200,2920
3,34,2450,1270
4,34,1150,540
5,34,180,70
6,34,30,0
7,34,0,0
8,34,0,0
9,34,0,0
10,34,0,0
11,34,0,0
12,34,0,0
13,34,0,0
14,34,0,0
15,34,0,0
16,34,0,0
17,34,0,0
18,34,0,0
19,34,0,0
20,34,0,0
21,34,0,0
22,34,0,0
23,34,0,0
24,34,0,0
25,34,0,0
0,36,5210,3510
1,36,2650,2110
2,36,4020,2980
3,36,2930,1580
4,36,1460,670
5,36,350,150
6,36,20,0
7,36,10,0
8,36,0,0
9,36,0,0
10,36,0,0
11,36,0,0
12,36,0,0
13,36,0,0
14,36,0,0
15,36,0,0
16,36,0,0
17,36,0,0
18,36,0,0
19,36,0,0
20,36,0,0
21,36,0,0
22,36,0,0
23,36,0,0
24,36,0,0
25,36,0,0
0,38,4400,2830
1,38,3080,2320
2,38,3640,2780
3,38,3410,2020
4,38,1680,800
5,38,510,230
6,38,90,20
7,38,20,0
8,38,0,0
9,38,0,0
10,38,0,0
11,38,0,0
12,38,0,0
13,38,0,0
14,38,0,0
15,38,0,0
16,38,0,0
17,38,0,0
18,38,0,0
19,38,0,0
20,38,0,0
21,38,0,0
22,38,0,0
23,38,0,0
24,38,0,0
25,38,0,0
0,40,3530,2040
1,40,3540,2600
2,40,3500,2810
3,40,3620,2220
4,40,1870,950
5,40,760,330
6,40,150,50
7,40,30,0
8,40,0,0
9,40,0,0
10,40,0,0
11,40,0,0
12,40,0,0
13,40,0,0
14,40,0,0
15,40,0,0
16,40,0,0
17,40,0,0
18,40,0,0
19,40,0,0
20,40,0,0
21,40,0,0
22,40,0,0
23,40,0,0
24,40,0,0
25,40,0,0
0,42,2470,1300
1,42,4120,2910
2,42,3270,2700
3,42,3720,2430
4,42,2080,1050
5,42,1040,510
6,42,270,100
7,42,20,0
8,42,10,0
9,42,0,0
10,42,0,0
11,42,0,0
12,42,0,0
13,42,0,0
14,42,0,0
15,42,0,0
16,42,0,0
17,42,0,0
18,42,0,0
19,42,0,0
20,42,0,0
21,42,0,0
22,42,0,0
23,42,0,0
24,42,0,0
25,42,0,0
0,44,1430,470
1,44,4890,3550
2,44,2800,2270
3,44,3740,2670
4,44,2380,1230
5,44,1270,610
6,44,420,190
7,44,50,10
8,44,20,0
9,44,0,0
10,44,0,0
11,44,0,0
12,44,0,0
13,44,0,0
14,44,0,0
