Name,Latitude,Longitude
Mile 2,29.768819,-95.390242
Path 23,29.768885,-95.391042
Path 24,29.769192,-95.394024
Path 25,29.76936,-95.395585
Path 26,29.769523,-95.397195
Path 27,29.769546,-95.397307
Path 28,29.768662,-95.397211
Path 29,29.767418,-95.397205
Path 30,29.767181,-95.397238
Path 31,29.76699,-95.39728
Path 32,29.766338,-95.397527
Path 33,29.765905,-95.397812
Path 34,29.765309,-95.39831
Path 35,29.764573,-95.398734
Path 36,29.764154,-95.398911
Path 37,29.763842,-95.398981
Path 38,29.763507,-95.399051
Path 39,29.763088,-95.399035
Path 40,29.762687,-95.398906
Path 41,29.761923,-95.398461
Path 42,29.761383,-95.398257
Mile 3,29.761322,-95.398233
