Name,Latitude,Longitude
Mile 24,29.761262,-95.392817
Path 355,29.761336,-95.392994
Path 356,29.761486,-95.39242
Path 357,29.761537,-95.392023
Path 358,29.761551,-95.391648
Path 359,29.761504,-95.391326
Path 360,29.761397,-95.390924
Path 361,29.761178,-95.390403
Path 362,29.76081,-95.389459
Path 363,29.760675,-95.388896
Path 364,29.760712,-95.388177
Path 365,29.76095,-95.387404
Path 366,29.761108,-95.386836
Path 367,29.76116,-95.386235
Path 368,29.761169,-95.385532
Path 369,29.761211,-95.38483
Path 370,29.761206,-95.383537
Path 371,29.761164,-95.38241
Path 372,29.761174,-95.381107
Path 373,29.761192,-95.3799
Path 374,29.761127,-95.379455
Path 375,29.761048,-95.379138
Path 376,29.760899,-95.378778
Path 377,29.760251,-95.377636
Path 378,29.760088,-95.376874
Mile 25,29.760095,-95.376625
