Name,Latitude,Longitude
Mile 22,29.761439,-95.422617
Path 306,29.761285,-95.422161
Path 307,29.761267,-95.421678
Path 308,29.761257,-95.421056
Path 309,29.761257,-95.420476
Path 310,29.761304,-95.416732
Path 311,29.761397,-95.416099
Path 312,29.76163,-95.415616
Path 313,29.762012,-95.415122
Path 314,29.76231,-95.414768
Path 315,29.762487,-95.414425
Path 316,29.762664,-95.414017
Path 317,29.762831,-95.413266
Path 318,29.762803,-95.41258
Path 319,29.762645,-95.412108
Path 320,29.762384,-95.411432
Path 321,29.762049,-95.410917
Path 322,29.761891,-95.410423
Path 323,29.761639,-95.409436
Path 324,29.761602,-95.409136
Path 325,29.761378,-95.408921
Path 326,29.759655,-95.408674
Mile 23,29.759795,-95.408224
