Name,Latitude,Longitude
Mile 8,29.722225,-95.399491
Path 78,29.72543,-95.399614
Path 79,29.723176,-95.39955
Path 80,29.723036,-95.399528
Path 81,29.722882,-95.399416
Path 82,29.72277,-95.399276
Path 83,29.722705,-95.399126
Path 84,29.722691,-95.398938
Path 85,29.722635,-95.398793
Path 86,29.722537,-95.398756
Path 87,29.7225,-95.398745
Path 88,29.720371,-95.404126
Path 89,29.719197,-95.407248
Path 90,29.718526,-95.408964
Path 91,29.717967,-95.410509
Path 92,29.717743,-95.41111
Path 93,29.717632,-95.411571
Path 94,29.717548,-95.412022
Path 95,29.71752,-95.41243
Path 96,29.71752,-95.41273
Mile 9,29.715433,-95.412687
