Name,Latitude,Longitude
Mile 13,29.725964,-95.463754
Path 116,29.725915,-95.464046
Path 117,29.725887,-95.464346
Path 118,29.725854,-95.464695
Path 119,29.725859,-95.464878
Path 120,29.725812,-95.46529
Path 121,29.725808,-95.465612
Path 122,29.725892,-95.464947
Path 123,29.726036,-95.463365
Path 124,29.726138,-95.462008
Path 125,29.726264,-95.461294
Path 126,29.726488,-95.46116
Path 127,29.727117,-95.46124
Path 128,29.727447,-95.46123
Path 129,29.7281,-95.461423
Path 130,29.72885,-95.461675
Path 131,29.72953,-95.461745
Path 132,29.730112,-95.461552
Path 133,29.731277,-95.461042
Path 134,29.731817,-95.4608
Path 135,29.731971,-95.460629
Path 136,29.732474,-95.460436
Path 137,29.733284,-95.460484
Mile 14,29.73335,-95.460463
