Name,Latitude,Longitude
Mile 18,29.778463,-95.480461
Path 213,29.77864,-95.480134
Path 214,29.778645,-95.479796
Path 215,29.778635,-95.479136
Path 216,29.778635,-95.478616
Path 217,29.778682,-95.478369
Path 218,29.778766,-95.477822
Path 219,29.778896,-95.477296
Path 220,29.778989,-95.476706
Path 221,29.779026,-95.476084
Path 222,29.77905,-95.474485
Path 223,29.779052,-95.473654
Path 224,29.779064,-95.472897
Path 225,29.779101,-95.4722
Path 226,29.779287,-95.471374
Path 227,29.77939,-95.470929
Path 228,29.779399,-95.470483
Path 229,29.779417,-95.469915
Path 230,29.779441,-95.468826
Path 231,29.779464,-95.467662
Path 232,29.779464,-95.467039
Path 233,29.779427,-95.466599
Path 234,29.779371,-95.466213
Path 235,29.779278,-95.46573
Path 236,29.779161,-95.46528
Path 237,29.779008,-95.464894
Path 238,29.778821,-95.464432
Mile 19,29.778658,-95.4641
