Name,Latitude,Longitude
Mile 19,29.778658,-95.4641
Path 239,29.778533,-95.463874
Path 240,29.778216,-95.463402
Path 241,29.777904,-95.463038
Path 242,29.777583,-95.462705
Path 243,29.777062,-95.462233
Path 244,29.77654,-95.461841
Path 245,29.775972,-95.461589
Path 246,29.775488,-95.461498
Path 247,29.774975,-95.461476
Path 248,29.774398,-95.461407
Path 249,29.773984,-95.461155
Path 250,29.773742,-95.460902
Path 251,29.773499,-95.460522
Path 252,29.773369,-95.460039
Path 253,29.773327,-95.459481
Path 254,29.773346,-95.458429
Path 255,29.773355,-95.457619
Path 256,29.773374,-95.456332
Path 257,29.773262,-95.455495
Path 258,29.773253,-95.454648
Path 259,29.773253,-95.454229
Path 260,29.773104,-95.453532
Path 261,29.772554,-95.452437
Path 262,29.772126,-95.45188
Path 263,29.771725,-95.451633
Mile 20,29.771665,-95.451609
