Name,Latitude,Longitude
Mile 7,29.725555,-95.411744
Path 72,29.72551,-95.415042
Path 73,29.725547,-95.412655
Path 74,29.725575,-95.410482
Path 75,29.725631,-95.406867
Path 76,29.725738,-95.399469
Path 77,29.725598,-95.399603
Path 78,29.72543,-95.399614
Path 79,29.723176,-95.39955
Path 80,29.723036,-95.399528
Path 81,29.722882,-95.399416
Path 82,29.72277,-95.399276
Path 83,29.722705,-95.399126
Path 84,29.722691,-95.398938
Path 85,29.722635,-95.398793
Path 86,29.722537,-95.398756
Path 87,29.7225,-95.398745
Mile 8,29.722225,-95.399491
