Name,Latitude,Longitude
Mile 17,29.768145,-95.478278
Path 191,29.76855,-95.478262
Path 192,29.769192,-95.478208
Path 193,29.769826,-95.478176
Path 194,29.771297,-95.478272
Path 195,29.771576,-95.478358
Path 196,29.771996,-95.478648
Path 197,29.772908,-95.479399
Path 198,29.77424,-95.480354
Path 199,29.774882,-95.481008
Path 200,29.775404,-95.481609
Path 201,29.776084,-95.482682
Path 202,29.776577,-95.483283
Path 203,29.776759,-95.483535
Path 204,29.777106,-95.48387
Path 205,29.777312,-95.484011
Path 206,29.777518,-95.484055
Path 207,29.777667,-95.483379
Path 208,29.777876,-95.482896
Path 209,29.778114,-95.482424
Path 210,29.778314,-95.482006
Path 211,29.778468,-95.481523
Path 212,29.778598,-95.480965
Mile 18,29.778463,-95.480461
