Name,Latitude,Longitude
Mile 16,29.755874,-95.47124
Path 168,29.756274,-95.471546
Path 169,29.756703,-95.471889
Path 170,29.757336,-95.4725
Path 171,29.758184,-95.473455
Path 172,29.758845,-95.474249
Path 173,29.759236,-95.474796
Path 174,29.759693,-95.475247
Path 175,29.760317,-95.475794
Path 176,29.761024,-95.476277
Path 177,29.761322,-95.476524
Path 178,29.761472,-95.476813
Path 179,29.761565,-95.477092
Path 180,29.76163,-95.477403
Path 181,29.76217,-95.477478
Path 182,29.762599,-95.477607
Path 183,29.763064,-95.477816
Path 184,29.763707,-95.477886
Path 185,29.763893,-95.478004
Path 186,29.764531,-95.478133
Path 187,29.764985,-95.478224
Path 188,29.765132,-95.478187
Path 189,29.765579,-95.478208
Path 190,29.767879,-95.478272
Mile 17,29.768145,-95.478278
