Name,Latitude,Longitude
Mile 15,29.747873,-95.461133
Path 148,29.748758,-95.461149
Path 149,29.749466,-95.461192
Path 150,29.750192,-95.461224
Path 151,29.750332,-95.461214
Path 152,29.750313,-95.463359
Path 153,29.750248,-95.4644
Path 154,29.750211,-95.4647
Path 155,29.750229,-95.465881
Path 156,29.750248,-95.467211
Path 157,29.750276,-95.468198
Path 158,29.750434,-95.468198
Path 159,29.750695,-95.468273
Path 160,29.751114,-95.468531
Path 161,29.751505,-95.468734
Path 162,29.752092,-95.468938
Path 163,29.753014,-95.469314
Path 164,29.75348,-95.469593
Path 165,29.753946,-95.46984
Path 166,29.754952,-95.470537
Path 167,29.755744,-95.471106
Mile 16,29.755874,-95.47124
