Name,Latitude,Longitude
Mile 4,29.753103,-95.405501
Path 51,29.753014,-95.410724
Path 52,29.752996,-95.411003
Path 53,29.752837,-95.412124
Path 54,29.752828,-95.412462
Path 55,29.752819,-95.413159
Path 56,29.752791,-95.414178
Path 57,29.752735,-95.414988
Path 58,29.752604,-95.416045
Path 59,29.7524,-95.417032
Path 60,29.752162,-95.418266
Path 61,29.752032,-95.418309
Path 62,29.751314,-95.418497
Path 63,29.750667,-95.418631
Path 64,29.750201,-95.418711
Path 65,29.749587,-95.41877
Path 66,29.748874,-95.418786
Mile 5,29.748742,-95.418786
