Name,Latitude,Longitude
Mile 23,29.759795,-95.408224
Path 327,29.759898,-95.407838
Path 328,29.760028,-95.407205
Path 329,29.760065,-95.406647
Path 330,29.75986,-95.405842
Path 331,29.759683,-95.405456
Path 332,29.759339,-95.404823
Path 333,29.759162,-95.404394
Path 334,29.758985,-95.403621
Path 335,29.758975,-95.403106
Path 336,29.759115,-95.40243
Path 337,29.75946,-95.401915
Path 338,29.760074,-95.401518
Path 339,29.760596,-95.401197
Path 340,29.760941,-95.400703
Path 341,29.761071,-95.400199
Path 342,29.761071,-95.399619
Path 343,29.761062,-95.399169
Path 344,29.761108,-95.39874
Path 345,29.761225,-95.398364
Path 346,29.761504,-95.39734
Path 347,29.761555,-95.396481
Path 348,29.761504,-95.396055
Path 349,29.761397,-95.395676
Path 350,29.761225,-95.395167
Path 351,29.761122,-95.394722
Path 352,29.761099,-95.394282
Path 353,29.761122,-95.393944
Path 354,29.761211,-95.39345
Mile 24,29.761262,-95.392817
