Name,Latitude,Longitude
Mile 20,29.771665,-95.451609
Path 264,29.771176,-95.451257
Path 265,29.770608,-95.451118
Path 266,29.770021,-95.451064
Path 267,29.769528,-95.450968
Path 268,29.769267,-95.45086
Path 269,29.768801,-95.450528
Path 270,29.768503,-95.450174
Path 271,29.768112,-95.449455
Path 272,29.768028,-95.449197
Path 273,29.767535,-95.446504
Path 274,29.767358,-95.445485
Path 275,29.767171,-95.444713
Path 276,29.767013,-95.444155
Path 277,29.766752,-95.443651
Path 278,29.766361,-95.442792
Path 279,29.765392,-95.440604
Path 280,29.765188,-95.440024
Mile 21,29.765118,-95.43827
