raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,finished
130,1228,0,0,0,20,70,390,1200,1790,2070,1420,1050,930,810,110,0,242
132,1228,0,0,0,0,80,290,1170,1690,2000,1530,1050,970,830,70,0,260
134,1228,0,0,0,0,70,260,990,1670,1870,1640,1160,910,860,150,0,270
136,1228,0,0,0,0,60,210,880,1510,1900,1790,1080,1000,900,50,0,290
138,1228,0,0,0,0,50,200,730,1390,1910,1770,1210,990,940,60,0,303
140,1228,0,0,0,0,40,200,580,1320,1810,1810,1310,1000,920,130,0,316
142,1228,0,0,0,0,30,150,500,1260,1670,1910,1340,1040,890,130,0,336
144,1228,0,0,0,0,30,130,430,1160,1620,1850,1470,1040,940,100,0,351
146,1228,0,0,0,0,30,90,360,1100,1620,1680,1570,1120,890,100,0,372
148,1228,0,0,0,0,30,80,320,980,1470,1770,1620,1060,1030,50,0,387
150,1228,0,0,0,0,30,60,260,970,1270,1770,1630,1210,960,100,0,402
152,1228,0,0,0,0,30,50,230,770,1300,1660,1720,1280,940,130,0,417
154,1228,0,0,0,0,20,60,190,680,1210,1590,1740,1300,1030,60,0,440
156,1228,0,0,0,0,0,70,190,580,1150,1500,1710,1420,1020,120,0,452
158,1228,0,0,0,0,0,60,180,470,1110,1500,1610,1530,1000,130,0,469
160,1228,0,0,0,0,0,50,140,410,1050,1450,1630,1470,1040,200,0,484
162,1228,0,0,0,0,0,50,110,330,990,1300,1670,1490,1180,100,0,506
164,1228,0,0,0,0,0,30,120,290,940,1160,1620,1560,1230,150,0,518
166,1228,0,0,0,0,0,30,90,290,860,1090,1570,1530,1320,130,0,537
168,1228,0,0,0,0,0,30,80,240,720,1120,1470,1560,1400,90,0,557
170,1228,0,0,0,0,0,30,60,210,670,1050,1420,1540,1410,180,0,571
172,1228,0,0,0,0,0,30,50,200,560,1000,1430,1560,1340,190,0,592
174,1228,0,0,0,0,0,30,50,180,500,1010,1290,1500,1380,150,0,619
176,1228,0,0,0,0,0,30,50,180,380,900,1200,1510,1470,160,0,640
178,1228,0,0,0,0,0,30,30,160,310,910,1090,1510,1410,190,0,664
180,1228,0,0,0,0,0,20,40,110,300,910,1010,1370,1510,120,0,689
182,1228,0,0,0,0,0,10,40,110,280,800,950,1350,1470,170,0,710
184,1228,0,0,0,0,0,0,50,80,240,670,1040,1350,1450,90,0,731
186,1228,0,0,0,0,0,0,40,90,190,630,990,1310,1390,210,0,743
188,1228,0,0,0,0,0,0,30,80,200,540,950,1200,1360,220,0,770
190,1228,0,0,0,0,0,0,30,60,190,510,890,1050,1440,110,0,800
192,1228,0,0,0,0,0,0,30,50,180,420,820,1040,1410,170,0,816
194,1228,0,0,0,0,0,0,30,50,180,320,830,1000,1310,130,0,843
196,1228,0,0,0,0,0,0,30,50,160,260,860,860,1300,160,0,860
198,1228,0,0,0,0,0,0,30,50,120,260,790,850,1310,90,0,878
200,1228,0,0,0,0,0,0,30,40,90,280,630,880,1260,150,0,892
202,1228,0,0,0,0,0,0,30,30,100,220,570,930,1110,200,0,909
204,1228,0,0,0,0,0,0,20,30,80,190,560,900,980,190,0,933
206,1228,0,0,0,0,0,0,20,30,80,190,490,760,1020,140,0,955
208,1228,0,0,0,0,0,0,10,40,70,160,460,750,940,120,0,973
210,1228,0,0,0,0,0,0,0,30,60,170,370,770,870,130,0,988
212,1228,0,0,0,0,0,0,0,30,60,170,260,840,790,110,0,1002
214,1228,0,0,0,0,0,0,0,30,50,180,210,800,760,100,0,1015
216,1228,0,0,0,0,0,0,0,30,50,150,220,630,860,70,0,1027
218,1228,0,0,0,0,0,0,0,30,50,120,240,550,840,100,0,1035
220,1228,0,0,0,0,0,0,0,30,50,80,220,530,840,70,0,1046
222,1228,0,0,0,0,0,0,0,30,40,90,170,490,750,160,0,1055
224,1228,0,0,0,0,0,0,0,30,30,70,190,470,700,80,0,1071
226,1228,0,0,0,0,0,0,0,30,20,80,160,430,680,80,0,1080
228,1228,0,0,0,0,0,0,0,30,20,80,140,330,770,30,0,1088
230,1228,0,0,0,0,0,0,0,20,30,60,150,250,770,80,0,1092
232,1228,0,0,0,0,0,0,0,20,30,40,170,210,650,150,0,1101
234,1228,0,0,0,0,0,0,0,20,10,60,160,200,570,100,0,1116
236,1228,0,0,0,0,0,0,0,10,20,50,150,210,500,70,0,1127
238,1228,0,0,0,0,0,0,0,0,30,50,110,230,430,90,0,1134
240,1228,0,0,0,0,0,0,0,0,30,50,80,180,460,50,0,1143
242,1228,0,0,0,0,0,0,0,0,30,50,80,160,430,50,0,1148
244,1228,0,0,0,0,0,0,0,0,30,40,70,160,400,50,0,1153
246,1228,0,0,0,0,0,0,0,0,30,40,60,140,320,110,0,1158
248,1228,0,0,0,0,0,0,0,0,30,20,80,140,240,80,0,1169
250,1228,0,0,0,0,0,0,0,0,30,20,80,130,210,40,0,1177
252,1228,0,0,0,0,0,0,0,0,30,20,50,160,190,20,0,1181
254,1228,0,0,0,0,0,0,0,0,30,20,40,160,200,0,0,1183
256,1228,0,0,0,0,0,0,0,0,30,20,30,140,210,20,0,1183
258,1228,0,0,0,0,0,0,0,0,20,10,50,110,170,70,0,1185
260,1228,0,0,0,0,0,0,0,0,20,10,50,100,150,40,0,1191
262,1228,0,0,0,0,0,0,0,0,20,10,50,80,160,10,0,1195
264,1228,0,0,0,0,0,0,0,0,10,20,50,60,150,30,0,1196
266,1228,0,0,0,0,0,0,0,0,0,30,40,60,140,30,0,1198
268,1228,0,0,0,0,0,0,0,0,0,30,40,60,140,0,0,1201
270,1228,0,0,0,0,0,0,0,0,0,30,20,80,130,10,0,1201
272,1228,0,0,0,0,0,0,0,0,0,30,20,70,140,0,0,1202
274,1228,0,0,0,0,0,0,0,0,0,30,20,40,160,10,0,1202
276,1228,0,0,0,0,0,0,0,0,0,30,20,40,140,20,0,1203
278,1228,0,0,0,0,0,0,0,0,0,30,20,30,120,40,0,1204
280,1228,0,0,0,0,0,0,0,0,0,30,20,30,110,20,0,1207
282,1228,0,0,0,0,0,0,0,0,0,30,20,30,80,30,0,1209
284,1228,0,0,0,0,0,0,0,0,0,20,10,50,70,10,0,1212
286,1228,0,0,0,0,0,0,0,0,0,20,10,50,60,10,0,1213
288,1228,0,0,0,0,0,0,0,0,0,20,10,50,50,10,0,1214
290,1228,0,0,0,0,0,0,0,0,0,20,10,40,60,0,0,1215
292,1228,0,0,0,0,0,0,0,0,0,10,20,40,60,0,0,1215
294,1228,0,0,0,0,0,0,0,0,0,0,30,20,70,10,0,1215
296,1228,0,0,0,0,0,0,0,0,0,0,30,20,60,20,0,1215
298,1228,0,0,0,0,0,0,0,0,0,0,30,20,40,20,0,1217
300,1228,0,0,0,0,0,0,0,0,0,0,30,20,40,0,0,1219
302,1228,0,0,0,0,0,0,0,0,0,0,30,20,30,10,0,1219
304,1228,0,0,0,0,0,0,0,0,0,0,30,20,30,0,0,1220
306,1228,0,0,0,0,0,0,0,0,0,0,30,20,30,0,0,1220
308,1228,0,0,0,0,0,0,0,0,0,0,30,0,50,0,0,1220
310,1228,0,0,0,0,0,0,0,0,0,0,30,0,50,0,0,1220
312,1228,0,0,0,0,0,0,0,0,0,0,20,10,50,0,0,1220
314,1228,0,0,0,0,0,0,0,0,0,0,20,10,40,10,0,1220
316,1228,0,0,0,0,0,0,0,0,0,0,20,10,40,0,0,1221
318,1228,0,0,0,0,0,0,0,0,0,0,20,10,30,10,0,1221
320,1228,0,0,0,0,0,0,0,0,0,0,10,20,20,10,0,1222
322,1228,0,0,0,0,0,0,0,0,0,0,10,20,20,0,0,1223
324,1228,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,1223
326,1228,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,1223
328,1228,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,1223
330,1228,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,1223
332,1228,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0,1223
334,1228,0,0,0,0,0,0,0,0,0,0,0,30,0,20,0,1223
336,1228,0,0,0,0,0,0,0,0,0,0,0,30,0,20,0,1223
338,1228,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1225
340,1228,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,1225
342,1228,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,1225
344,1228,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,1225
346,1228,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,1225
348,1228,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,1225
350,1228,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,1225
352,1228,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,1225
354,1228,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1225
356,1228,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1225
358,1228,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1225
360,1228,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1225
362,1228,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1225
364,1228,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1225
366,1228,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1225
368,1228,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1225
370,1228,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,1225
